#separator:Pipe          
#notetype:Latin Conjugation
#deck column:7
#columns:Verb|Conjugated Verb|Conjugation Meaning|Greek Sentence|English Sentence|Morphology|Deck
ὁράω|εἶδον|they saw|<v>εἶδον</v> τὸ τεῖχος.|They saw the wall.|3P pl. aor. act. ind.|Greek Conjugation::6. ὁράω
ὁράω|εἴδετον|you both saw|<v>εἴδετον</v> τὸν λόφον.|You both saw the hill.|2P dual. aor. act. ind.|Greek Conjugation::6. ὁράω
ὁράω|εἰδέτην|they both saw|<v>εἰδέτην</v> τὴν ὁδόν.|They both saw the road.|3P dual. aor. act. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὤφθην|I was seen|<v>ὤφθην</v> ὑπὸ τῶν φίλων.|I was seen by friends.|1P sg. aor. pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὤφθης|you were seen|<v>ὤφθης</v> ὑπὸ τοῦ διδασκάλου.|You were seen by the teacher.|2P sg. aor. pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὤφθη|he/she/it was seen|<v>ὤφθη</v> ὑπὸ πάντων.|He was seen by all.|3P sg. aor. pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὤφθημεν|we were seen|<v>ὤφθημεν</v> ὑπὸ τῶν θεῶν.|We were seen by the gods.|1P pl. aor. pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὤφθητε|you were seen|<v>ὤφθητε</v> ὑπὸ τῶν πολιτῶν.|You were seen by the citizens.|2P pl. aor. pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὤφθησαν|they were seen|<v>ὤφθησαν</v> ὑπὸ τῶν ἀνθρώπων.|They were seen by the people.|3P pl. aor. pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὤφθητον|you both were seen|<v>ὤφθητον</v> ὑπὸ τῶν στρατιωτῶν.|You both were seen by the soldiers.|2P dual. aor. pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὠφθήτην|they both were seen|<v>ὠφθήτην</v> ὑπὸ τῶν παίδων.|They both were seen by the children.|3P dual. aor. pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ἑόρακα|I have seen|<v>ἑόρακα</v> τὸν ναόν.|I have seen the temple.|1P sg. perf. act. ind.|Greek Conjugation::6. ὁράω
ὁράω|ἑόρακας|you have seen|<v>ἑόρακας</v> τὴν εἰκόνα.|You have seen the image.|2P sg. perf. act. ind.|Greek Conjugation::6. ὁράω
ὁράω|ἑόρακε(ν)|he/she/it has seen|<v>ἑόρακε</v> τὸ ἄγαλμα.|He has seen the statue.|3P sg. perf. act. ind.|Greek Conjugation::6. ὁράω
ὁράω|ἑόραμεν|we have seen|<v>ἑόραμεν</v> τὸν βωμόν.|We have seen the altar.|1P pl. perf. act. ind.|Greek Conjugation::6. ὁράω
ὁράω|ἑόρατε|you have seen|<v>ἑόρατε</v> τὴν στήλην.|You have seen the stele.|2P pl. perf. act. ind.|Greek Conjugation::6. ὁράω
ὁράω|ἑόρακασι(ν)|they have seen|<v>ἑόρακασι</v> τὸ μνῆμα.|They have seen the monument.|3P pl. perf. act. ind.|Greek Conjugation::6. ὁράω
ὁράω|ἑόρατον|you both have seen|<v>ἑόρατον</v> τὸ ἱερόν.|You both have seen the sanctuary.|2P dual. perf. act. ind.|Greek Conjugation::6. ὁράω
ὁράω|ἑόρατον|they both have seen|<v>ἑόρατον</v> τὴν κρήνην.|They both have seen the spring.|3P dual. perf. act. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὦμμαι|I have been seen|<v>ὦμμαι</v> ὑπὸ τῶν θεῶν.|I have been seen by the gods.|1P sg. perf. mid/pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὦψαι|you have been seen|<v>ὦψαι</v> ὑπὸ τῶν ἀνθρώπων.|You have been seen by the people.|2P sg. perf. mid/pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὦπται|he/she/it has been seen|<v>ὦπται</v> ὑπὸ πάντων.|He has been seen by all.|3P sg. perf. mid/pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὤμμεθα|we have been seen|<v>ὤμμεθα</v> ὑπὸ τῶν φίλων.|We have been seen by friends.|1P pl. perf. mid/pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὦφθε|you have been seen|<v>ὦφθε</v> ὑπὸ τῶν πολιτῶν.|You have been seen by the citizens.|2P pl. perf. mid/pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὦμμένοι εἰσί(ν)|they have been seen|<v>ὦμμένοι εἰσί</v> ὑπὸ τῶν δικαστῶν.|They have been seen by the judges.|3P pl. perf. mid/pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὦφθον|you both have been seen|<v>ὦφθον</v> ὑπὸ τῶν στρατιωτῶν.|You both have been seen by the soldiers.|2P dual. perf. mid/pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὦφθον|they both have been seen|<v>ὦφθον</v> ὑπὸ τῶν φυλάκων.|They both have been seen by the guards.|3P dual. perf. mid/pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ἑωράκη|I had seen|<v>ἑωράκη</v> τὸν ἀγῶνα.|I had seen the contest.|1P sg. plup. act. ind.|Greek Conjugation::6. ὁράω
ὁράω|ἑωράκης|you had seen|<v>ἑωράκης</v> τὴν νίκην.|You had seen the victory.|2P sg. plup. act. ind.|Greek Conjugation::6. ὁράω
ὁράω|ἑωράκει|he/she/it had seen|<v>ἑωράκει</v> τὸν θρίαμβον.|He had seen the triumph.|3P sg. plup. act. ind.|Greek Conjugation::6. ὁράω
ὁράω|ἑωράκεμεν|we had seen|<v>ἑωράκεμεν</v> τὴν ἑορτήν.|We had seen the festival.|1P pl. plup. act. ind.|Greek Conjugation::6. ὁράω
ὁράω|ἑωράκετε|you had seen|<v>ἑωράκετε</v> τὸν χορόν.|You had seen the chorus.|2P pl. plup. act. ind.|Greek Conjugation::6. ὁράω
ὁράω|ἑωράκεσαν|they had seen|<v>ἑωράκεσαν</v> τὴν πομπήν.|They had seen the procession.|3P pl. plup. act. ind.|Greek Conjugation::6. ὁράω
ὁράω|ἑωράκειτον|you both had seen|<v>ἑωράκειτον</v> τὸν ἆθλον.|You both had seen the contest.|2P dual. plup. act. ind.|Greek Conjugation::6. ὁράω
ὁράω|ἑωρακείτην|they both had seen|<v>ἑωρακείτην</v> τὴν τελετήν.|They both had seen the ceremony.|3P dual. plup. act. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὤμμην|I had been seen|<v>ὤμμην</v> ὑπὸ τῶν θεῶν.|I had been seen by the gods.|1P sg. plup. mid/pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὦψο|you had been seen|<v>ὦψο</v> ὑπὸ τῶν ἀνθρώπων.|You had been seen by the people.|2P sg. plup. mid/pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὦπτο|he/she/it had been seen|<v>ὦπτο</v> ὑπὸ πάντων.|He had been seen by all.|3P sg. plup. mid/pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὤμμεθα|we had been seen|<v>ὤμμεθα</v> ὑπὸ τῶν φίλων.|We had been seen by friends.|1P pl. plup. mid/pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὦφθε|you had been seen|<v>ὦφθε</v> ὑπὸ τῶν πολιτῶν.|You had been seen by the citizens.|2P pl. plup. mid/pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὦμμένοι ἦσαν|they had been seen|<v>ὦμμένοι ἦσαν</v> ὑπὸ τῶν δικαστῶν.|They had been seen by the judges.|3P pl. plup. mid/pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὦφθον|you both had been seen|<v>ὦφθον</v> ὑπὸ τῶν στρατιωτῶν.|You both had been seen by the soldiers.|2P dual. plup. mid/pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὤφθην|they both had been seen|<v>ὤφθην</v> ὑπὸ τῶν φυλάκων.|They both had been seen by the guards.|3P dual. plup. mid/pass. ind.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶ|I see/may see|<v>ὁρῶ</v> τὸν ἄνθρωπον.|I may see the person.|1P sg. pres. act. subj.|Greek Conjugation::6. ὁράω
ὁράω|ὁρᾷς|you see/may see|<v>ὁρᾷς</v> τὸν οἶκον.|You may see the house.|2P sg. pres. act. subj.|Greek Conjugation::6. ὁράω
ὁράω|ὁρᾷ|he/she/it sees/may see|<v>ὁρᾷ</v> τὴν θάλατταν.|He may see the sea.|3P sg. pres. act. subj.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶμεν|we see/may see|<v>ὁρῶμεν</v> τοὺς θεούς.|We may see the gods.|1P pl. pres. act. subj.|Greek Conjugation::6. ὁράω
ὁράω|ὁρᾶτε|you see/may see|<v>ὁρᾶτε</v> τὰ δῶρα.|You may see the gifts.|2P pl. pres. act. subj.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶσι(ν)|they see/may see|<v>ὁρῶσι</v> τὰ ἔργα.|They may see the works.|3P pl. pres. act. subj.|Greek Conjugation::6. ὁράω
ὁράω|ὁρᾶτον|you both see/may see|<v>ὁρᾶτον</v> τὼ παῖδε.|You both may see the two children.|2P dual. pres. act. subj.|Greek Conjugation::6. ὁράω
ὁράω|ὁρᾶτον|they both see/may see|<v>ὁρᾶτον</v> τὼ ἵππω.|They both may see the two horses.|3P dual. pres. act. subj.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶμαι|I am/may be seen|<v>ὁρῶμαι</v> ὑπὸ τῶν φίλων.|I may be seen by friends.|1P sg. pres. mid/pass. subj.|Greek Conjugation::6. ὁράω
ὁράω|ὁρᾷ|you are/may be seen|<v>ὁρᾷ</v> ὑπὸ τοῦ διδασκάλου.|You may be seen by the teacher.|2P sg. pres. mid/pass. subj.|Greek Conjugation::6. ὁράω
ὁράω|ὁρᾶται|he/she/it is/may be seen|<v>ὁρᾶται</v> ὑπὸ πάντων.|He may be seen by all.|3P sg. pres. mid/pass. subj.|Greek Conjugation::6. ὁράω
ὁράω|ὁρώμεθα|we are/may be seen|<v>ὁρώμεθα</v> ὑπὸ τῶν πολιτῶν.|We may be seen by the citizens.|1P pl. pres. mid/pass. subj.|Greek Conjugation::6. ὁράω
ὁράω|ὁρᾶσθε|you are/may be seen|<v>ὁρᾶσθε</v> ὑπὸ τῶν θεῶν.|You may be seen by the gods.|2P pl. pres. mid/pass. subj.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶνται|they are/may be seen|<v>ὁρῶνται</v> ὑπὸ τῶν ἀνθρώπων.|They may be seen by the people.|3P pl. pres. mid/pass. subj.|Greek Conjugation::6. ὁράω
ὁράω|ὁρᾶσθον|you both are/may be seen|<v>ὁρᾶσθον</v> ὑπὸ τοῦ στρατηγοῦ.|You both may be seen by the general.|2P dual. pres. mid/pass. subj.|Greek Conjugation::6. ὁράω
ὁράω|ὁρᾶσθον|they both are/may be seen|<v>ὁρᾶσθον</v> ὑπὸ τῶν δούλων.|They both may be seen by the slaves.|3P dual. pres. mid/pass. subj.|Greek Conjugation::6. ὁράω
ὁράω|ἴδω|I may see|<v>ἴδω</v> τὸν ἥλιον.|I may see the sun.|1P sg. aor. act. subj.|Greek Conjugation::6. ὁράω
ὁράω|ἴδῃς|you may see|<v>ἴδῃς</v> τὴν ἀλήθειαν.|You may see the truth.|2P sg. aor. act. subj.|Greek Conjugation::6. ὁράω
ὁράω|ἴδῃ|he/she/it may see|<v>ἴδῃ</v> τὸ φῶς.|He may see the light.|3P sg. aor. act. subj.|Greek Conjugation::6. ὁράω
ὁράω|ἴδωμεν|we may see|<v>ἴδωμεν</v> τοὺς ἀστέρας.|We may see the stars.|1P pl. aor. act. subj.|Greek Conjugation::6. ὁράω
ὁράω|ἴδητε|you may see|<v>ἴδητε</v> τὰ σημεῖα.|You may see the signs.|2P pl. aor. act. subj.|Greek Conjugation::6. ὁράω
ὁράω|ἴδωσι(ν)|they may see|<v>ἴδωσι</v> τὴν πόλιν.|They may see the city.|3P pl. aor. act. subj.|Greek Conjugation::6. ὁράω
ὁράω|ἴδητον|you both may see|<v>ἴδητον</v> τὼ ἀδελφώ.|You both may see the two brothers.|2P dual. aor. act. subj.|Greek Conjugation::6. ὁράω
ὁράω|ἴδητον|they both may see|<v>ἴδητον</v> τὼ νεώ.|They both may see the two temples.|3P dual. aor. act. subj.|Greek Conjugation::6. ὁράω
ὁράω|ἴδωμαι|I may see for myself|<v>ἴδωμαι</v> τὸν ἀγῶνα.|I may see the contest for myself.|1P sg. aor. mid. subj.|Greek Conjugation::6. ὁράω
ὁράω|ἴδῃ|you may see for yourself|<v>ἴδῃ</v> τὴν εἰκόνα.|You may see the image for yourself.|2P sg. aor. mid. subj.|Greek Conjugation::6. ὁράω
ὁράω|ἴδηται|he/she/it may see for oneself|<v>ἴδηται</v> τὸ πρᾶγμα.|He may see the matter for himself.|3P sg. aor. mid. subj.|Greek Conjugation::6. ὁράω
ὁράω|ἰδώμεθα|we may see for ourselves|<v>ἰδώμεθα</v> τοὺς νόμους.|We may see the laws for ourselves.|1P pl. aor. mid. subj.|Greek Conjugation::6. ὁράω
ὁράω|ἴδησθε|you may see for yourselves|<v>ἴδησθε</v> τὰ ἱερά.|You may see the temples for yourselves.|2P pl. aor. mid. subj.|Greek Conjugation::6. ὁράω
ὁράω|ἴδωνται|they may see for themselves|<v>ἴδωνται</v> τὰ δένδρα.|They may see the trees for themselves.|3P pl. aor. mid. subj.|Greek Conjugation::6. ὁράω
ὁράω|ἴδησθον|you both may see for yourselves|<v>ἴδησθον</v> τὼ λόγω.|You both may see the two speeches for yourselves.|2P dual. aor. mid. subj.|Greek Conjugation::6. ὁράω
ὁράω|ἴδησθον|they both may see for themselves|<v>ἴδησθον</v> τὼ ποταμώ.|They both may see the two rivers for themselves.|3P dual. aor. mid. subj.|Greek Conjugation::6. ὁράω
ὁράω|ὅρα|see!|<v>ὅρα</v> τὸν οὐρανόν.|See the sky!|2P sg. pres. act. imp.|Greek Conjugation::6. ὁράω
ὁράω|ὁράτω|let him/her see|<v>ὁράτω</v> τὴν ἀλήθειαν.|Let him see the truth.|3P sg. pres. act. imp.|Greek Conjugation::6. ὁράω
ὁράω|ὁρᾶτε|see! (plural)|<v>ὁρᾶτε</v> τοὺς θεούς.|See the gods!|2P pl. pres. act. imp.|Greek Conjugation::6. ὁράω
ὁράω|ὁρώντων|let them see|<v>ὁρώντων</v> τὰ γιγνόμενα.|Let them see what is happening.|3P pl. pres. act. imp.|Greek Conjugation::6. ὁράω
ὁράω|ὁρᾶτον|see! (dual)|<v>ὁρᾶτον</v> τὸν ἀγῶνα.|You two see the contest!|2P dual. pres. act. imp.|Greek Conjugation::6. ὁράω
ὁράω|ὁράτων|let them both see|<v>ὁράτων</v> τὴν πόλιν.|Let them both see the city.|3P dual. pres. act. imp.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶ|see! (for yourself)|<v>ὁρῶ</v> τὸν κίνδυνον.|See the danger for yourself!|2P sg. pres. mid/pass. imp.|Greek Conjugation::6. ὁράω
ὁράω|ὁράσθω|let him/her see (for self)|<v>ὁράσθω</v> τὸ ἔργον.|Let him see the work for himself.|3P sg. pres. mid/pass. imp.|Greek Conjugation::6. ὁράω
ὁράω|ὁρᾶσθε|see! (plural, for yourselves)|<v>ὁρᾶσθε</v> τὴν σοφίαν.|See the wisdom for yourselves!|2P pl. pres. mid/pass. imp.|Greek Conjugation::6. ὁράω
ὁράω|ὁράσθων|let them see (for themselves)|<v>ὁράσθων</v> τὰ σημεῖα.|Let them see the signs for themselves.|3P pl. pres. mid/pass. imp.|Greek Conjugation::6. ὁράω
ὁράω|ὁρᾶσθον|see! (dual, for yourselves)|<v>ὁρᾶσθον</v> τὸν δρόμον.|You two see the race for yourselves!|2P dual. pres. mid/pass. imp.|Greek Conjugation::6. ὁράω
ὁράω|ὁράσθων|let them both see (for themselves)|<v>ὁράσθων</v> τὴν μάχην.|Let them both see the battle for themselves.|3P dual. pres. mid/pass. imp.|Greek Conjugation::6. ὁράω
ὁράω|ἰδέ|see!|<v>ἰδέ</v> τὸν ἥλιον.|See the sun!|2P sg. aor. act. imp.|Greek Conjugation::6. ὁράω
ὁράω|ἰδέτω|let him/her see|<v>ἰδέτω</v> τὸ θαῦμα.|Let him see the wonder.|3P sg. aor. act. imp.|Greek Conjugation::6. ὁράω
ὁράω|ἴδετε|see! (plural)|<v>ἴδετε</v> τὰ δῶρα.|See the gifts!|2P pl. aor. act. imp.|Greek Conjugation::6. ὁράω
ὁράω|ἰδόντων|let them see|<v>ἰδόντων</v> τὴν δίκην.|Let them see justice.|3P pl. aor. act. imp.|Greek Conjugation::6. ὁράω
ὁράω|ἴδετον|see! (dual)|<v>ἴδετον</v> τὸν φίλον.|You two see the friend!|2P dual. aor. act. imp.|Greek Conjugation::6. ὁράω
ὁράω|ἰδέτων|let them both see|<v>ἰδέτων</v> τὸν νόμον.|Let them both see the law.|3P dual. aor. act. imp.|Greek Conjugation::6. ὁράω
ὁράω|ἰδοῦ|see! (for yourself)|<v>ἰδοῦ</v> τὴν ἀρετήν.|See virtue for yourself!|2P sg. aor. mid. imp.|Greek Conjugation::6. ὁράω
ὁράω|ἰδέσθω|let him/her see (for self)|<v>ἰδέσθω</v> τὸ κάλλος.|Let him see the beauty for himself.|3P sg. aor. mid. imp.|Greek Conjugation::6. ὁράω
ὁράω|ἴδεσθε|see! (plural, for yourselves)|<v>ἴδεσθε</v> τὴν εἰρήνην.|See the peace for yourselves!|2P pl. aor. mid. imp.|Greek Conjugation::6. ὁράω
ὁράω|ἰδέσθων|let them see (for themselves)|<v>ἰδέσθων</v> τὴν χάριν.|Let them see the grace for themselves.|3P pl. aor. mid. imp.|Greek Conjugation::6. ὁράω
ὁράω|ἴδεσθον|see! (dual, for yourselves)|<v>ἴδεσθον</v> τὸν ἆθλον.|You two see the prize for yourselves!|2P dual. aor. mid. imp.|Greek Conjugation::6. ὁράω
ὁράω|ἰδέσθων|let them both see (for themselves)|<v>ἰδέσθων</v> τὴν τιμήν.|Let them both see the honor for themselves.|3P dual. aor. mid. imp.|Greek Conjugation::6. ὁράω
ὁράω|ὁρᾶν|to see|<v>ὁρᾶν</v> τὸν ἥλιον καλόν ἐστιν.|To see the sun is beautiful.|__ __ pres. act. inf.|Greek Conjugation::6. ὁράω
ὁράω|ὁρᾶσθαι|to be seen|<v>ὁρᾶσθαι</v> ὑπὸ πάντων αἰσχρόν ἐστιν.|To be seen by all is shameful.|__ __ pres. mid/pass. inf.|Greek Conjugation::6. ὁράω
ὁράω|ὄψεσθαι|to be about to see|μέλλω <v>ὄψεσθαι</v> τοὺς φίλους.|I am about to see my friends.|__ __ fut. mid. inf.|Greek Conjugation::6. ὁράω
ὁράω|ὀφθήσεσθαι|to be about to be seen|λέγει <v>ὀφθήσεσθαι</v> τοῖς πολίταις.|He says he will be seen by the citizens.|__ __ fut. pass. inf.|Greek Conjugation::6. ὁράω
ὁράω|ἰδεῖν|to see|βούλομαι <v>ἰδεῖν</v> τὴν πόλιν.|I want to see the city.|__ __ aor. act. inf.|Greek Conjugation::6. ὁράω
ὁράω|ἰδέσθαι|to see for oneself|ἐθέλω <v>ἰδέσθαι</v> τὸν ἀγῶνα.|I wish to see the contest for myself.|__ __ aor. mid. inf.|Greek Conjugation::6. ὁράω
ὁράω|ὀφθῆναι|to be seen|συνέβη <v>ὀφθῆναι</v> τὸν κλέπτην.|It happened that the thief was seen.|__ __ aor. pass. inf.|Greek Conjugation::6. ὁράω
ὁράω|ἑωρακέναι|to have seen|φησὶν <v>ἑωρακέναι</v> τὸ θαῦμα.|He says he has seen the wonder.|__ __ perf. act. inf.|Greek Conjugation::6. ὁράω
ὁράω|ἑωρᾶσθαι|to have been seen|λέγεται <v>ἑωρᾶσθαι</v> ὑπὸ πολλῶν.|It is said to have been seen by many.|__ __ perf. mid/pass. inf.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶν|seeing|<v>ὁρῶν</v> τὸν ἄνθρωπον ἔφυγεν.|Seeing the man, he fled.|__ __ pres. part. act. masc. nom. sg.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶντος|seeing|<v>ὁρῶντος</v> τοῦ ἀνδρὸς ἔφυγον.|While the man was seeing, they fled.|__ __ pres. part. act. masc. gen. sg.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶντι|seeing|ἐπίστευσα τῷ <v>ὁρῶντι</v>.|I trusted the one who was seeing.|__ __ pres. part. act. masc. dat. sg.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶντα|seeing|εἶδον τὸν <v>ὁρῶντα</v> ἄνθρωπον.|I saw the seeing man.|__ __ pres. part. act. masc. acc. sg.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶντε|seeing|τὼ <v>ὁρῶντε</v> ἀνδρὼ ἦλθον.|The two seeing men came.|__ __ pres. part. act. masc. nom. dual|Greek Conjugation::6. ὁράω
ὁράω|ὁρώντοιν|seeing|τοῖν <v>ὁρώντοιν</v> ἀνδροῖν ἐπίστευσα.|I trusted the two seeing men.|__ __ pres. part. act. masc. gen/dat. dual|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶντες|seeing|οἱ <v>ὁρῶντες</v> ἄνθρωποι ἦλθον.|The seeing men came.|__ __ pres. part. act. masc. nom. pl.|Greek Conjugation::6. ὁράω
ὁράω|ὁρώντων|seeing|τῶν <v>ὁρώντων</v> ἀνδρῶν ἤκουσα.|I heard the seeing men.|__ __ pres. part. act. masc. gen. pl.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶσι|seeing|τοῖς <v>ὁρῶσι</v> ἀνδράσιν ἐπίστευσα.|I trusted the seeing men.|__ __ pres. part. act. masc. dat. pl.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶντας|seeing|τοὺς <v>ὁρῶντας</v> ἄνδρας εἶδον.|I saw the seeing men.|__ __ pres. part. act. masc. acc. pl.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶσα|seeing|ἡ <v>ὁρῶσα</v> γυνὴ ἦλθεν.|The seeing woman came.|__ __ pres. part. act. fem. nom. sg.|Greek Conjugation::6. ὁράω
ὁράω|ὁρώσης|seeing|τῆς <v>ὁρώσης</v> γυναικὸς ἤκουσα.|I heard the seeing woman.|__ __ pres. part. act. fem. gen. sg.|Greek Conjugation::6. ὁράω
ὁράω|ὁρώσῃ|seeing|τῇ <v>ὁρώσῃ</v> γυναικὶ ἐπίστευσα.|I trusted the seeing woman.|__ __ pres. part. act. fem. dat. sg.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶσαν|seeing|τὴν <v>ὁρῶσαν</v> γυναῖκα εἶδον.|I saw the seeing woman.|__ __ pres. part. act. fem. acc. sg.|Greek Conjugation::6. ὁράω
ὁράω|ὁρώσα|seeing|τὼ <v>ὁρώσα</v> γυναῖκε ἦλθον.|The two seeing women came.|__ __ pres. part. act. fem. nom. dual|Greek Conjugation::6. ὁράω
ὁράω|ὁρώσαιν|seeing|ταῖν <v>ὁρώσαιν</v> γυναικοῖν ἐπίστευσα.|I trusted the two seeing women.|__ __ pres. part. act. fem. gen/dat. dual|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶσαι|seeing|αἱ <v>ὁρῶσαι</v> γυναῖκες ἦλθον.|The seeing women came.|__ __ pres. part. act. fem. nom. pl.|Greek Conjugation::6. ὁράω
ὁράω|ὁρωσῶν|seeing|τῶν <v>ὁρωσῶν</v> γυναικῶν ἤκουσα.|I heard the seeing women.|__ __ pres. part. act. fem. gen. pl.|Greek Conjugation::6. ὁράω
ὁράω|ὁρώσαις|seeing|ταῖς <v>ὁρώσαις</v> γυναιξὶν ἐπίστευσα.|I trusted the seeing women.|__ __ pres. part. act. fem. dat. pl.|Greek Conjugation::6. ὁράω
ὁράω|ὁρώσας|seeing|τὰς <v>ὁρώσας</v> γυναῖκας εἶδον.|I saw the seeing women.|__ __ pres. part. act. fem. acc. pl.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶν|seeing|τὸ <v>ὁρῶν</v> παιδίον ἦλθεν.|The seeing child came.|__ __ pres. part. act. neut. nom. sg.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶντος|seeing|τοῦ <v>ὁρῶντος</v> παιδίου ἤκουσα.|I heard the seeing child.|__ __ pres. part. act. neut. gen. sg.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶντι|seeing|τῷ <v>ὁρῶντι</v> παιδίῳ ἐπίστευσα.|I trusted the seeing child.|__ __ pres. part. act. neut. dat. sg.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶν|seeing|τὸ <v>ὁρῶν</v> παιδίον εἶδον.|I saw the seeing child.|__ __ pres. part. act. neut. acc. sg.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶντε|seeing|τὼ <v>ὁρῶντε</v> παιδίω ἦλθον.|The two seeing children came.|__ __ pres. part. act. neut. nom. dual|Greek Conjugation::6. ὁράω
ὁράω|ὁρώντοιν|seeing|τοῖν <v>ὁρώντοιν</v> παιδίοιν ἐπίστευσα.|I trusted the two seeing children.|__ __ pres. part. act. neut. gen/dat. dual|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶντα|seeing|τὰ <v>ὁρῶντα</v> παιδία ἦλθεν.|The seeing children came.|__ __ pres. part. act. neut. nom. pl.|Greek Conjugation::6. ὁράω
ὁράω|ὁρώντων|seeing|τῶν <v>ὁρώντων</v> παιδίων ἤκουσα.|I heard the seeing children.|__ __ pres. part. act. neut. gen. pl.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶσι|seeing|τοῖς <v>ὁρῶσι</v> παιδίοις ἐπίστευσα.|I trusted the seeing children.|__ __ pres. part. act. neut. dat. pl.|Greek Conjugation::6. ὁράω
ὁράω|ὁρῶντα|seeing|τὰ <v>ὁρῶντα</v> παιδία εἶδον.|I saw the seeing children.|__ __ pres. part. act. neut. acc. pl.|Greek Conjugation::6. ὁράω
ὁράω|ὀψόμενος|about to see|ὁ <v>ὀψόμενος</v> ἀνὴρ ἦλθεν.|The man who was about to see came.|__ __ fut. part. mid. masc. nom. sg.|Greek Conjugation::6. ὁράω
ὁράω|ὀψομένου|about to see|τοῦ <v>ὀψομένου</v> ἀνδρὸς ἤκουσα.|I heard the man who was about to see.|__ __ fut. part. mid. masc. gen. sg.|Greek Conjugation::6. ὁράω
ὁράω|ὀψομένῳ|about to see|τῷ <v>ὀψομένῳ</v> ἀνδρὶ ἐπίστευσα.|I trusted the man who was about to see.|__ __ fut. part. mid. masc. dat. sg.|Greek Conjugation::6. ὁράω
ὁράω|ὀψόμενον|about to see|τὸν <v>ὀψόμενον</v> ἄνδρα εἶδον.|I saw the man who was about to see.|__ __ fut. part. mid. masc. acc. sg.|Greek Conjugation::6. ὁράω
ὁράω|ὀψομένω|about to see|τὼ <v>ὀψομένω</v> ἄνδρε ἦλθον.|The two men who were about to see came.|__ __ fut. part. mid. masc. nom. dual|Greek Conjugation::6. ὁράω
ὁράω|ὀψομένοιν|about to see|τοῖν <v>ὀψομένοιν</v> ἀνδροῖν ἐπίστευσα.|I trusted the two men who were about to see.|__ __ fut. part. mid. masc. gen/dat. dual|Greek Conjugation::6. ὁράω
ὁράω|ὀψόμενοι|about to see|οἱ <v>ὀψόμενοι</v> ἄνδρες ἦλθον.|The men who were about to see came.|__ __ fut. part. mid. masc. nom. pl.|Greek Conjugation::6. ὁράω
ὁράω|ὀψομένων|about to see|τῶν <v>ὀψομένων</v> ἀνδρῶν ἤκουσα.|I heard the men who were about to see.|__ __ fut. part. mid. masc. gen. pl.|Greek Conjugation::6. ὁράω
